t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Unnamed: 20
24.012,12.5,0,2280,4.98,1189.03,309.872,1.2147,683.894,683.724,-15.2698,310.432,0.109241,57.9879,57.9877,0.15216,741.865,741.711,-15.1177,
24.262,12.5,0,2281,4.96,1184.77,310.053,1.20996,685.163,685.034,-13.3282,310.656,0.111532,58.6364,58.6363,-0.106802,743.791,743.67,-13.435,
24.512,12.5,0,2281,4.95,1182.39,308.464,1.21111,683.296,683.14,-14.6328,308.974,0.108598,57.7105,57.7103,-0.130507,740.997,740.85,-14.7633,
24.762,12.5,0,2281,4.96,1184.77,310.559,1.22462,686.639,686.491,-14.2818,311.072,0.112398,58.6825,58.6825,0.060783,745.309,745.173,-14.221,
25.012,12.5,0,2280,4.99,1191.42,312.65,1.22815,677.979,677.806,-15.3073,313.139,0.111941,58.527,58.5245,-0.534711,736.501,736.331,-15.842,
25.246,12.5,0,2281,4.94,1180.0,310.759,1.20565,683.515,683.394,-12.8502,311.259,0.113526,60.3682,60.349,-1.52532,743.882,743.743,-14.3755,
25.496,12.5,0,2279,4.98,1188.51,318.565,1.23433,686.882,686.718,-15.022,319.081,0.115816,59.9153,59.9143,-0.33975,746.79,746.632,-15.3617,
25.7,12.5,0,2278,5.05,1204.69,317.328,1.23456,680.309,680.158,-14.3231,317.724,0.115981,59.3032,59.3016,0.43666,739.59,739.459,-13.8865,
25.95,12.5,0,2279,5.0,1193.28,318.306,1.24069,681.767,681.618,-14.2299,318.755,0.11718,60.1829,60.1828,0.0746815,741.936,741.801,-14.1552,
26.2,12.5,0,2279,5.01,1195.67,318.463,1.23017,684.092,683.913,-15.6511,318.996,0.116998,59.5935,59.5923,-0.375543,743.678,743.505,-16.0267,
26.45,12.5,0,2280,4.99,1191.42,316.641,1.23043,688.134,687.895,-18.119,317.196,0.114034,60.1878,60.1857,-0.506692,748.313,748.081,-18.6257,
26.7,12.5,0,2282,5.0,1194.85,313.782,1.23702,684.807,684.663,-14.0683,314.215,0.113283,58.1873,58.1804,0.89751,742.96,742.843,-13.1708,
26.95,12.5,0,2281,5.02,1199.11,319.172,1.24704,685.312,685.146,-15.0877,319.637,0.115785,59.4634,59.4633,-0.0992707,744.765,744.61,-15.187,
27.2,12.5,0,2281,4.91,1172.83,314.677,1.21755,681.097,680.934,-14.8763,315.139,0.115406,60.0135,60.0132,0.182753,741.093,740.948,-14.6935,
27.45,12.5,0,2281,4.97,1187.16,316.887,1.23445,682.59,682.383,-16.7841,317.303,0.115755,59.7218,59.7204,0.417504,742.284,742.104,-16.3666,
27.7,12.5,0,2281,4.91,1172.83,312.584,1.22618,681.555,681.412,-13.9464,313.031,0.113472,59.0637,59.0627,0.347883,740.6,740.475,-13.5985,
27.95,12.5,0,2281,5.0,1194.33,312.142,1.20714,682.827,682.706,-12.8402,312.823,0.107163,57.8301,57.8275,-0.547383,740.655,740.534,-13.3876,
28.2,12.5,0,2282,4.92,1175.73,314.586,1.19832,677.679,677.591,-10.8696,315.226,0.108722,58.1412,58.1336,-0.936839,735.82,735.725,-11.8065,
28.45,12.5,0,2281,4.99,1191.94,309.142,1.20272,684.561,684.413,-14.2364,309.757,0.10924,58.5594,58.559,-0.22622,743.113,742.972,-14.4626,
28.7,12.5,0,2282,4.92,1175.73,309.666,1.21375,682.941,682.814,-13.1445,310.256,0.110709,58.4359,58.4359,-0.0309328,741.367,741.25,-13.1754,
28.95,12.5,0,2280,4.99,1191.42,319.085,1.23211,681.725,681.576,-14.2375,319.764,0.109519,57.9535,57.9268,-1.75649,739.676,739.503,-15.994,
29.2,12.5,0,2280,4.98,1189.03,311.341,1.2216,681.865,681.763,-11.8029,311.767,0.112558,59.9734,59.939,-2.02918,741.83,741.702,-13.8321,
29.45,12.5,0,2278,5.05,1204.69,312.825,1.22078,681.743,681.592,-14.3359,313.303,0.112495,59.518,59.4888,-1.86378,741.258,741.081,-16.1997,
29.7,12.5,0,2279,4.98,1188.51,314.609,1.22417,675.996,675.851,-14.012,315.088,0.112852,59.4038,59.3761,-1.81516,735.397,735.227,-15.8272,
29.95,12.5,0,2281,4.96,1184.77,315.263,1.23984,685.102,684.923,-15.6973,315.735,0.115425,58.7371,58.7337,0.635266,743.809,743.656,-15.0621,
30.2,12.5,0,2282,4.97,1187.68,319.061,1.23494,680.89,680.745,-14.0317,319.497,0.117335,59.8746,59.8746,-0.00208179,740.753,740.62,-14.0338,
30.45,12.5,0,2281,4.98,1189.55,311.026,1.21565,687.158,686.994,-15.0333,311.7,0.110166,58.2743,58.2737,0.264239,745.414,745.267,-14.7691,
30.7,12.5,0,2282,4.93,1178.12,310.773,1.22604,684.053,683.896,-14.6527,311.275,0.112609,58.1167,58.1165,0.143444,742.154,742.013,-14.5093,
30.95,12.5,0,2279,4.98,1188.51,312.568,1.20445,681.229,681.084,-14.0462,313.276,0.111178,58.5628,58.5575,-0.785475,739.791,739.642,-14.8317,
31.2,12.5,0,2282,4.92,1175.73,311.033,1.2152,687.127,686.989,-13.7386,311.653,0.108134,57.9978,57.9978,0.0895813,745.112,744.987,-13.649,
31.45,12.5,0,2280,4.98,1189.03,313.479,1.22068,679.524,679.416,-12.1541,314.037,0.11114,59.8618,59.8157,-2.34999,739.374,739.231,-14.5041,
