t/s.1,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.066,-0.364263,-0.623654,0.987916,-0.0452102,-0.020811,0.0660212,0.452905,-0.952667,0.499762,-0.585972,-0.229218,0.81519,-0.631182,-0.250029,0.881211,0.99885,0.995117,0,-0.06604,0.00158691,0.855591,-0.454224,-0.851318,-0.0140381,-0.917358,-0.0124512,-0.0200195,0.0179443,0.00744629,-0.0108643,-0.0213623,0.0162354,0.0445557,0.0313721,0.052002,0.0205078,1.2666
0.068,0.342925,-0.983661,0.640736,0.0136348,-0.0796561,0.0660212,0.282622,-0.939486,0.656863,-0.0224048,-0.735912,0.758316,-0.00876998,-0.815568,0.824338,0.996874,0.970337,0,-0.0817871,-0.0109863,0.810913,-0.472656,-0.842285,-0.0236816,-0.924072,-0.034668,-0.0285645,0.0155029,0.000854492,0.00720215,-0.0765381,0.019043,0.0197754,0.0124512,0.0206299,0.0196533,1.2666
0.07,0.896177,-0.781687,-0.11449,0.0538217,-0.0889851,0.0351635,0.11707,-0.897544,0.780475,0.592866,-0.851382,0.258517,0.646687,-0.940368,0.29368,0.997664,1.01941,0,-0.0776367,-0.00134277,0.873291,-0.435791,-0.871338,0.00683594,-0.948975,0.00549316,0.020752,0.043457,-0.00292969,0.0130615,0.0135498,0.0246582,-0.0118408,0.0136719,-0.0147705,0.0267334,1.2666
0.072,0.955618,-0.221247,-0.734371,0.0775032,-0.0502335,-0.0272696,-0.0910541,-0.802877,0.893931,0.87034,-0.498076,-0.372264,0.947844,-0.548309,-0.399534,0.996874,0.983765,0,-0.074585,-0.00891113,0.86377,-0.415405,-0.861084,-0.0518799,-0.935669,-0.060791,0.00793457,-0.00952148,0.00292969,0.0146484,0.0183105,-0.000976562,-0.00585938,0.00012207,-0.00292969,0.0147705,1.2666
0.074,0.495336,0.505707,-1.00104,0.0688917,-0.00430573,-0.064586,-0.296813,-0.681846,0.978659,0.71523,0.118918,-0.834148,0.784122,0.114612,-0.898734,1.00083,0.981323,0,-0.0841064,0.00952148,0.910034,-0.434326,-0.897827,-0.0379639,-0.981934,-0.0284424,0.0130615,0.0155029,0.00500488,-0.00390625,0.00012207,0.00891113,0.00415039,-0.00109863,0.00915527,-0.00500488,1.2666
0.076,-0.237761,0.955138,-0.717377,0.0251168,0.0387516,-0.0638684,-0.493111,-0.490114,0.983225,0.203367,0.670421,-0.873787,0.228483,0.709172,-0.937656,1.00241,1.01025,0,-0.0755615,0.0114746,0.877197,-0.450928,-0.881958,0.000244141,-0.95752,0.0117188,0.00720215,-0.0164795,-0.00305176,-0.0101318,-0.00817871,0.0234375,0.0189209,-0.0397949,0.0158691,-0.0499268,1.2666
0.078,-0.801683,0.855693,-0.0540104,-0.0330106,0.070327,-0.0373164,-0.644474,-0.316357,0.960831,-0.449819,0.875511,-0.425691,-0.48283,0.945838,-0.463008,1.0028,0.981689,0,-0.0839844,0.00463867,0.898926,-0.443726,-0.898682,0.00854492,-0.982666,0.0131836,-0.00585938,0.0266113,-0.0169678,-0.0134277,0.0101318,0.0249023,0.0161133,-0.0281982,-0.000854492,-0.041626,1.2666
0.08,-0.970859,0.329943,0.640916,-0.064586,0.0437749,0.020811,-0.740258,-0.15698,0.897238,-0.813467,0.589419,0.224048,-0.878053,0.633194,0.244859,1.00438,0.974365,0,-0.0548096,0.00231934,0.89978,-0.421875,-0.894531,-0.0032959,-0.949341,-0.000976562,0.00146484,-0.000976562,0.0012207,0.00695801,-0.019043,0.0255127,0.0444336,-0.0391846,0.0456543,-0.0322266,1.2666
0.082,-0.595928,-0.386218,0.982146,-0.0538217,-0.0200934,0.0739151,-0.830129,0.0635112,0.766618,-0.684208,-0.00172345,0.685932,-0.73803,-0.0218169,0.759847,1.0028,0.959473,0,-0.0805664,-0.0045166,0.86377,-0.401489,-0.826904,-0.0566406,-0.907471,-0.0611572,0.0161133,0.026001,0.0238037,-0.00341797,-0.00915527,0.00634766,0.015625,0.03479,0.0394287,0.0313721,1.2666
0.084,0.15927,-0.920448,0.761178,-0.0193758,-0.0609979,0.0803737,-0.980309,0.317556,0.662754,-0.315391,-0.534268,0.849659,-0.334766,-0.595266,0.930033,0.999245,1.02209,0,-0.0695801,0.0032959,0.800537,-0.511963,-0.801514,0.081665,-0.871094,0.0849609,0.0128174,-0.0375977,0.0209961,-0.0045166,-0.0367432,0.0341797,0.0537109,-0.0222168,0.074707,-0.0267334,1.2666
